p_name,p_no
폰세,16313
와이스,16153
류현진,10590
문동주,15013
엄상백,11318
황준서,16107
조동욱,16108
후라도,15531
레예스,15861
원태인,14113
최원태,11379
백정현,10363
이승현,14798
김대호,15882
정민성,15866
에르난데스,16160
치리노스,16286
송승기,14846
임찬규,10652
손주영,12908
반즈,15011
데이비슨,16273
감보아,16391
박세웅,11310
나균안,12930
이민석,15045
윤성빈,12928
김진욱,14792
네일,16088
올러,16261
김도현,14128
양현종,10058
윤영철,15432
잭로그,16299
콜어빈,16298
최원준,12852
최승용,14770
김유성,15509
최준호,15508
앤더슨,16146
화이트,16324
김광현,10126
김건우,14803
문승원,10783
박종훈,10131
송영진,15462
로건,16350
라일리,16349
최성영,12565
신민혁,13085
목지훈,15453
김태경,14593
오원석,14581
쿠에바스,13942
헤이수스,16138
고영표,11308
소형준,14600
로젠버그,16339
알칸타라,13941
하영민,11222
김윤하,16123
김연주,16127
정현우,16325
윤현,16331
김선기,13092
양창섭,13157